Bandwidth,fLower,fUpper
0.005,0.0225,0.0275
0.005,0.0275,0.0325
0.005,0.0325,0.0375
0.005,0.037499998,0.0425
0.005,0.0425,0.047500003
0.005,0.0475,0.052500002
0.005,0.0525,0.0575
0.005,0.057499997,0.0625
0.005,0.062499996,0.067499995
0.005,0.0675,0.0725
0.005,0.072500005,0.0775
0.005,0.0775,0.082499996
0.005,0.0825,0.0875
0.005,0.087500006,0.0925
0.005,0.0925,0.0975
0.0075,0.097500004,0.105
0.01,0.105,0.115
0.01,0.114999995,0.125
0.01,0.12499999,0.13499999
0.01,0.135,0.145
0.01,0.14500001,0.155
0.01,0.155,0.16499999
0.01,0.165,0.175
0.01,0.17500001,0.185
0.01,0.185,0.195
0.01,0.19500001,0.205
0.01,0.205,0.21499999
0.01,0.215,0.225
0.01,0.22500001,0.235
0.01,0.235,0.24499999
0.01,0.245,0.255
0.01,0.255,0.265
0.01,0.26500002,0.275
0.01,0.275,0.285
0.01,0.285,0.295
0.01,0.29500002,0.305
0.01,0.305,0.315
0.01,0.315,0.325
0.01,0.32500002,0.335
0.01,0.335,0.345
0.01,0.345,0.355
0.01,0.35500002,0.365
0.01,0.365,0.375
0.01,0.375,0.385
0.01,0.385,0.39499998
0.01,0.395,0.405
0.01,0.405,0.415
0.01,0.415,0.42499998
0.01,0.425,0.435
0.01,0.435,0.445
0.01,0.445,0.45499998
0.01,0.455,0.465
0.01,0.465,0.475
0.01,0.475,0.48499998
0.01,0.485,0.495
0.01,0.495,0.505
0.01,0.505,0.515
0.01,0.515,0.525
0.01,0.525,0.53499997
0.01,0.535,0.545
0.01,0.545,0.555
0.01,0.555,0.565
0.01,0.565,0.575
0.01,0.575,0.585
