tLower,tUpper,Hs,Ta,Tp,Tz,Dp,PeakPSD
2022-01-02 00:00:00,2022-01-02 00:26:40,1.96,7.418367,9.090909,6.6666665,305.90625,4.8172007
2022-01-02 00:30:00,2022-01-02 00:56:40,2.01,7.271649,9.876543,6.451613,311.53125,4.9145145
2022-01-02 01:00:00,2022-01-02 01:26:40,1.94,7.2878604,10.526316,6.451613,300.28125,3.9047468
2022-01-02 01:30:00,2022-01-02 01:56:40,1.85,7.1997986,9.090909,6.3492064,305.90625,3.0258539
2022-01-02 02:00:00,2022-01-02 02:26:40,1.87,7.106602,9.090909,6.25,303.09375,4.003597
2022-01-02 02:30:00,2022-01-02 02:56:40,1.76,7.116145,9.090909,6.25,307.3125,2.8072155
2022-01-02 03:00:00,2022-01-02 03:26:40,1.74,7.288871,9.876543,6.3492064,303.09375,3.1180038
2022-01-02 03:30:00,2022-01-02 03:56:40,1.68,7.363558,10.526316,6.3492064,305.90625,2.3921516
2022-01-02 04:00:00,2022-01-02 04:26:40,1.6,6.99512,10.526316,6.060606,307.3125,2.2868907
2022-01-02 04:30:00,2022-01-02 04:56:40,1.72,7.203362,9.876543,6.1538463,297.46875,3.277868
2022-01-02 05:00:00,2022-01-02 05:26:40,1.6,6.917399,9.876543,5.7971015,311.53125,2.3447838
2022-01-02 05:30:00,2022-01-02 05:56:40,1.52,6.700205,9.090909,5.633803,304.5,1.9390404
2022-01-02 06:00:00,2022-01-02 06:26:40,1.57,6.957204,14.285714,5.714286,296.0625,2.835429
